title,description,days_until_deadline,assignee_active_tasks,assignee_overdue_rate,assignee_avg_completion_delay,project_type,priority
Critical issue in Database,Critical issue in Database. Failure to resolve may result in financial or reputational damage.,7,5,0.27,6.8,EdTech,HIGH
Immediate rollback required for Frontend App,Immediate rollback required for Frontend App. This issue is affecting multiple stakeholders and requires immediate attention.,8,2,0.24,7.0,EdTech,HIGH
Payment failure reported by Premium Customer,Payment failure reported by Premium Customer. This task is blocking critical business operations.,-1,7,0.66,3.8,SaaS,HIGH
Optimize workflow in Marketing,Optimize workflow in Marketing. This task will improve operational efficiency.,13,4,0.2,3.3,EdTech,MEDIUM
Production outage affecting Billing Service,Production outage affecting Billing Service. This issue is affecting multiple stakeholders and requires immediate attention.,20,10,0.89,5.9,E-commerce,HIGH
Update dependency versions,Update dependency versions. This is a minor improvement with low business impact.,-1,1,0.19,1.5,AI Platform,LOW
Refactor variable naming in Backend API,Refactor variable naming in Backend API. No immediate operational risk involved.,70,0,0.08,1.7,SaaS,LOW
System crash during Login,System crash during Login. This task is blocking critical business operations.,8,6,0.66,5.5,EdTech,HIGH
Update design theme slightly,Update design theme slightly. This is a minor improvement with low business impact.,16,0,0.16,0.9,Fintech,LOW
Audit failure in Operations,Audit failure in Operations. This issue is affecting multiple stakeholders and requires immediate attention.,13,10,0.75,9.8,AI Platform,HIGH
Update dependency versions,Update dependency versions. This is a minor improvement with low business impact.,24,0,0.02,1.2,AI Platform,LOW
Enhance performance of Database,Enhance performance of Database. This task will improve operational efficiency.,17,6,0.39,2.0,Healthcare,MEDIUM
Optimize workflow in Marketing,Optimize workflow in Marketing. Important for improving overall system quality.,23,2,0.48,0.4,AI Platform,MEDIUM
Client escalation regarding Analytics,Client escalation regarding Analytics. Failure to resolve may result in financial or reputational damage.,7,4,0.37,8.6,Fintech,HIGH
Audit failure in Finance,Audit failure in Finance. This task is blocking critical business operations.,17,11,0.53,8.2,Healthcare,HIGH
Refactor variable naming in Database,Refactor variable naming in Database. No immediate operational risk involved.,-1,0,0.03,0.3,E-commerce,LOW
Audit failure in Finance,Audit failure in Finance. This task is blocking critical business operations.,-1,8,0.81,9.2,EdTech,HIGH
Improve comments in codebase,Improve comments in codebase. No immediate operational risk involved.,-1,0,0.11,0.4,AI Platform,LOW
Critical issue in Auth Service,Critical issue in Auth Service. This task is blocking critical business operations.,19,0,0.55,1.9,AI Platform,HIGH
Integrate new API into Reporting Service,Integrate new API into Reporting Service. Important for improving overall system quality.,31,0,0.12,3.1,Fintech,MEDIUM
Compliance violation in Finance,Compliance violation in Finance. Failure to resolve may result in financial or reputational damage.,7,0,0.66,4.6,SaaS,HIGH
Improve comments in codebase,Improve comments in codebase. Can be addressed during routine maintenance.,-1,0,0.1,0.0,E-commerce,LOW
Organize file structure,Organize file structure. No immediate operational risk involved.,39,0,0.15,0.7,AI Platform,LOW
Upgrade billing process in Expense Audit,Upgrade billing process in Expense Audit. This task will improve operational efficiency.,16,0,0.39,3.2,E-commerce,MEDIUM
Improve formatting in Auth Service,Improve formatting in Auth Service. No immediate operational risk involved.,40,2,0.13,1.2,AI Platform,LOW
Client escalation regarding Search,Client escalation regarding Search. This task is blocking critical business operations.,12,10,0.6,2.3,AI Platform,HIGH
Update dependency versions,Update dependency versions. This is a minor improvement with low business impact.,16,4,0.18,1.2,Fintech,LOW
Organize file structure,Organize file structure. Can be addressed during routine maintenance.,34,3,0.11,0.9,Fintech,LOW
Client escalation regarding Settings,Client escalation regarding Settings. This task is blocking critical business operations.,21,6,0.24,1.9,EdTech,HIGH
Revenue-impacting defect in Login,Revenue-impacting defect in Login. Failure to resolve may result in financial or reputational damage.,4,0,0.7,9.4,EdTech,HIGH
Organize file structure,Organize file structure. No immediate operational risk involved.,-1,2,0.17,0.0,SaaS,LOW
Optimize workflow in Support,Optimize workflow in Support. This task will improve operational efficiency.,14,0,0.19,2.4,EdTech,MEDIUM
Optimize workflow in Support,Optimize workflow in Support. This task will improve operational efficiency.,7,0,0.3,2.1,EdTech,MEDIUM
Optimize workflow in HR,Optimize workflow in HR. This task will improve operational efficiency.,25,7,0.32,2.2,Healthcare,MEDIUM
Refactor codebase in Payment Gateway,Refactor codebase in Payment Gateway. Important for improving overall system quality.,11,6,0.39,2.3,SaaS,MEDIUM
Enhance performance of Mobile App,Enhance performance of Mobile App. This task will improve operational efficiency.,18,0,0.28,3.2,EdTech,MEDIUM
Implement new feature for Search,Implement new feature for Search. This enhancement supports ongoing optimization efforts.,23,6,0.12,4.0,E-commerce,MEDIUM
Organize file structure,Organize file structure. No immediate operational risk involved.,27,0,0.04,1.9,Healthcare,LOW
Revenue-impacting defect in Settings,Revenue-impacting defect in Settings. This task is blocking critical business operations.,18,4,0.45,2.2,AI Platform,HIGH
Update design theme slightly,Update design theme slightly. This is a minor improvement with low business impact.,24,0,0.1,1.4,Fintech,LOW
Improve formatting in Backend API,Improve formatting in Backend API. This is a minor improvement with low business impact.,50,0,0.17,1.0,Fintech,LOW
Critical issue in Data Pipeline,Critical issue in Data Pipeline. This issue is affecting multiple stakeholders and requires immediate attention.,16,1,0.85,7.8,E-commerce,HIGH
Critical issue in Frontend App,Critical issue in Frontend App. This issue is affecting multiple stakeholders and requires immediate attention.,11,10,0.39,6.0,Healthcare,HIGH
System crash during Settings,System crash during Settings. This issue is affecting multiple stakeholders and requires immediate attention.,21,17,0.86,8.5,EdTech,HIGH
Automate campaign tracking for Black Friday Campaign,Automate campaign tracking for Black Friday Campaign. Important for improving overall system quality.,11,8,0.01,1.5,E-commerce,MEDIUM
Update design theme slightly,Update design theme slightly. No immediate operational risk involved.,58,9,0.08,1.1,E-commerce,LOW
Organize file structure,Organize file structure. No immediate operational risk involved.,-1,1,0.01,0.5,EdTech,LOW
Improve formatting in Mobile App,Improve formatting in Mobile App. No immediate operational risk involved.,-1,5,0.07,0.4,Healthcare,LOW
Improve comments in codebase,Improve comments in codebase. Can be addressed during routine maintenance.,78,0,0.13,0.2,SaaS,LOW
Optimize workflow in HR,Optimize workflow in HR. Important for improving overall system quality.,-1,8,0.37,3.5,Healthcare,MEDIUM
Enhance internal documentation,Enhance internal documentation. Can be addressed during routine maintenance.,37,3,0.05,1.9,AI Platform,LOW
Audit failure in Operations,Audit failure in Operations. This task is blocking critical business operations.,16,0,0.66,2.2,Fintech,HIGH
Update design theme slightly,Update design theme slightly. No immediate operational risk involved.,56,2,0.1,1.9,E-commerce,LOW
Improve comments in codebase,Improve comments in codebase. No immediate operational risk involved.,30,0,0.07,1.0,E-commerce,LOW
Cleanup unused resources,Cleanup unused resources. No immediate operational risk involved.,33,0,0.05,0.2,Healthcare,LOW
Improve formatting in Mobile App,Improve formatting in Mobile App. This is a minor improvement with low business impact.,58,0,0.16,1.6,SaaS,LOW
Revenue-impacting defect in Login,Revenue-impacting defect in Login. Failure to resolve may result in financial or reputational damage.,12,11,0.77,7.5,Fintech,HIGH
Client escalation regarding Profile,Client escalation regarding Profile. Failure to resolve may result in financial or reputational damage.,17,9,0.6,9.9,AI Platform,HIGH
Client escalation regarding Login,Client escalation regarding Login. Failure to resolve may result in financial or reputational damage.,11,0,0.29,5.9,Healthcare,HIGH
Fix minor typo in documentation,Fix minor typo in documentation. No immediate operational risk involved.,26,0,0.15,1.4,EdTech,LOW
Automate campaign tracking for Q4 Launch,Automate campaign tracking for Q4 Launch. This enhancement supports ongoing optimization efforts.,19,10,0.45,2.9,E-commerce,MEDIUM
System crash during Analytics,System crash during Analytics. This issue is affecting multiple stakeholders and requires immediate attention.,11,0,0.54,4.2,EdTech,HIGH
Implement new feature for Search,Implement new feature for Search. This enhancement supports ongoing optimization efforts.,19,5,0.39,2.3,SaaS,MEDIUM
Revenue-impacting defect in Checkout,Revenue-impacting defect in Checkout. Failure to resolve may result in financial or reputational damage.,10,0,0.62,6.5,SaaS,HIGH
Refactor codebase in Payment Gateway,Refactor codebase in Payment Gateway. Important for improving overall system quality.,7,0,0.29,0.4,E-commerce,MEDIUM
Integrate new API into Reporting Service,Integrate new API into Reporting Service. Important for improving overall system quality.,-1,8,0.05,0.9,E-commerce,MEDIUM
Improve formatting in Mobile App,Improve formatting in Mobile App. This is a minor improvement with low business impact.,43,0,0.17,1.7,Healthcare,LOW
Fix minor typo in documentation,Fix minor typo in documentation. No immediate operational risk involved.,70,0,0.18,1.8,EdTech,LOW
Optimize workflow in Finance,Optimize workflow in Finance. This enhancement supports ongoing optimization efforts.,21,5,0.3,3.1,Fintech,MEDIUM
Payment failure reported by Enterprise Client,Payment failure reported by Enterprise Client. This issue is affecting multiple stakeholders and requires immediate attention.,6,0,0.34,6.8,E-commerce,HIGH
Integrate new API into Billing Service,Integrate new API into Billing Service. This task will improve operational efficiency.,-1,6,0.21,0.2,SaaS,MEDIUM
Revenue-impacting defect in Search,Revenue-impacting defect in Search. This issue is affecting multiple stakeholders and requires immediate attention.,-1,0,0.85,7.0,EdTech,HIGH
Fix minor typo in documentation,Fix minor typo in documentation. This is a minor improvement with low business impact.,-1,2,0.19,1.6,E-commerce,LOW
Security breach detected in Backend API,Security breach detected in Backend API. Failure to resolve may result in financial or reputational damage.,7,0,0.75,3.2,EdTech,HIGH
Enhance performance of Payment Gateway,Enhance performance of Payment Gateway. This task will improve operational efficiency.,-1,8,0.06,0.0,Fintech,MEDIUM
Compliance violation in Support,Compliance violation in Support. Failure to resolve may result in financial or reputational damage.,-1,12,0.48,6.5,Healthcare,HIGH
Revenue-impacting defect in Settings,Revenue-impacting defect in Settings. This task is blocking critical business operations.,-1,0,0.58,2.4,Fintech,HIGH
Fix minor typo in documentation,Fix minor typo in documentation. This is a minor improvement with low business impact.,24,0,0.13,0.7,SaaS,LOW
Implement new feature for Search,Implement new feature for Search. This enhancement supports ongoing optimization efforts.,4,0,0.05,0.6,Fintech,MEDIUM
Fix minor typo in documentation,Fix minor typo in documentation. No immediate operational risk involved.,40,0,0.0,1.9,Fintech,LOW
Refactor codebase in Payment Gateway,Refactor codebase in Payment Gateway. Important for improving overall system quality.,24,4,0.24,0.6,Fintech,MEDIUM
Improve onboarding process for Recruitment Drive,Improve onboarding process for Recruitment Drive. This task will improve operational efficiency.,12,9,0.5,2.5,Healthcare,MEDIUM
